time,OBS1,OBS2,OBS3,OBS5,OBS6,OBS7
34.13722002321,9.476554649343399,24.36609327910705,24.63397530624805,18.83382710386378,16.30201074689003,12.15708104206991
71.68816204874,9.476305574027357,24.36593909069429,24.63393715840142,18.83257000761900,16.30111105015241,12.15534797526334
112.9941982768,9.476014282774820,24.36568996252047,24.63386029946905,18.83153241019611,16.30025725136726,12.15432964762978
158.4308381277,9.475725463998801,24.36537551676381,24.63373910819687,18.83071091938185,16.29952653162482,12.15367441378060
208.4111419637,9.475457475111902,24.36503545529282,24.63357942503204,18.83007680290501,16.29892885012538,12.15321222074944
263.3894761833,9.475213525647332,24.36469901275435,24.63339155650798,18.82959033125280,16.29844322584547,12.15286598203855
323.8656438248,9.474993896124152,24.36438830604725,24.63318976055379,18.82922175706260,16.29805700502694,12.15260105488426
390.3894282305,9.474796090142513,24.36411171670758,24.63298527218353,18.82894234845120,16.29774678571975,12.15239412794436
463.5655910768,9.474619599637895,24.36387374535339,24.63278823487036,18.82873160084077,16.29750108321876,12.15223224747470
544.0593702077,9.474462723376815,24.36367181976744,24.63260718755526,18.82857603278859,16.29730337285962,12.15210380279188
632.6025272516,9.474326448110881,24.36350600301299,24.63244470950970,18.82845716450730,16.29714998003141,12.15200393447371
730.0000000000,9.474209817375177,24.36337014329383,24.63230504792416,18.82837015214063,16.29702817443048,12.15192506822352
